Series_ID,Series_Name,Year,Period,Date,Value
LNU04032231,Construction,2018,M01,2018-01-01,7.3
LNU04032231,Construction,2018,M02,2018-02-01,7.8
LNU04032231,Construction,2018,M03,2018-03-01,7.4
LNU04032231,Construction,2018,M04,2018-04-01,6.5
LNU04032231,Construction,2018,M05,2018-05-01,4.4
LNU04032231,Construction,2018,M06,2018-06-01,4.7
LNU04032231,Construction,2018,M07,2018-07-01,3.4
LNU04032231,Construction,2018,M08,2018-08-01,3.4
LNU04032231,Construction,2018,M09,2018-09-01,4.1
LNU04032231,Construction,2018,M10,2018-10-01,3.6
LNU04032231,Construction,2018,M11,2018-11-01,3.9
LNU04032231,Construction,2018,M12,2018-12-01,5.1
LNU04032231,Construction,2019,M01,2019-01-01,6.4
LNU04032231,Construction,2019,M02,2019-02-01,6.2
LNU04032231,Construction,2019,M03,2019-03-01,5.2
LNU04032231,Construction,2019,M04,2019-04-01,4.7
LNU04032231,Construction,2019,M05,2019-05-01,3.2
LNU04032231,Construction,2019,M06,2019-06-01,4
LNU04032231,Construction,2019,M07,2019-07-01,3.8
LNU04032231,Construction,2019,M08,2019-08-01,3.6
LNU04032231,Construction,2019,M09,2019-09-01,3.2
LNU04032231,Construction,2019,M10,2019-10-01,4
LNU04032231,Construction,2019,M11,2019-11-01,4.4
LNU04032231,Construction,2019,M12,2019-12-01,5
LNU04032231,Construction,2020,M01,2020-01-01,5.4
LNU04032231,Construction,2020,M02,2020-02-01,5.5
LNU04032231,Construction,2020,M03,2020-03-01,6.9
LNU04032231,Construction,2020,M04,2020-04-01,16.6
LNU04032231,Construction,2020,M05,2020-05-01,12.7
LNU04032231,Construction,2020,M06,2020-06-01,10.1
LNU04032231,Construction,2020,M07,2020-07-01,8.9
LNU04032231,Construction,2020,M08,2020-08-01,7.6
LNU04032231,Construction,2020,M09,2020-09-01,7.1
LNU04032231,Construction,2020,M10,2020-10-01,6.8
LNU04032231,Construction,2020,M11,2020-11-01,7.3
LNU04032231,Construction,2020,M12,2020-12-01,9.6
LNU04032231,Construction,2021,M01,2021-01-01,9.4
LNU04032231,Construction,2021,M02,2021-02-01,9.6
LNU04032231,Construction,2021,M03,2021-03-01,8.6
LNU04032231,Construction,2021,M04,2021-04-01,7.7
LNU04032231,Construction,2021,M05,2021-05-01,6.7
LNU04032231,Construction,2021,M06,2021-06-01,7.5
LNU04032240,Education and Health Services,2018,M01,2018-01-01,2.7
LNU04032240,Education and Health Services,2018,M02,2018-02-01,2.5
LNU04032240,Education and Health Services,2018,M03,2018-03-01,2.6
LNU04032240,Education and Health Services,2018,M04,2018-04-01,2.3
